"indicateurs","sexe","zones-géographiques","culture","Unit","Date","Value"
"Nombre de producteurs de Manioc","Total","BEMBEREKE","Manioc","Nombre","2019","4570"
"Nombre de producteurs de Manioc","Total","KALALE","Manioc","Nombre","2019","4731"
"Nombre de producteurs de Manioc","Total","NDALI","Manioc","Nombre","2019","6032"
"Nombre de producteurs de Manioc","Total","NIKKI","Manioc","Nombre","2019","9114"
"Nombre de producteurs de Manioc","Total","PARAKOU","Manioc","Nombre","2019","2866"
"Nombre de producteurs de Manioc","Total","PERERE","Manioc","Nombre","2019","8947"
"Nombre de producteurs de Manioc","Total","SINENDE","Manioc","Nombre","2019","4573"
"Nombre de producteurs de Manioc","Total","TCHAOUROU","Manioc","Nombre","2019","13385"
"Nombre de producteurs de Manioc","Total","COLLINES","Manioc","Nombre","2019","63613"
"Nombre de producteurs de Manioc","Total","BANTE","Manioc","Nombre","2019","12611"
"Nombre de producteurs de Manioc","Total","DASSA ZOUME","Manioc","Nombre","2019","8552"
"Nombre de producteurs de Manioc","Total","GLAZOUE","Manioc","Nombre","2019","11076"
"Nombre de producteurs de Manioc","Total","OUESSE","Manioc","Nombre","2019","10601"
"Nombre de producteurs de Manioc","Total","SAVALOU","Manioc","Nombre","2019","13564"
"Nombre de producteurs de Manioc","Total","SAVE","Manioc","Nombre","2019","7209"
"Nombre de producteurs de Manioc","Total","COUFFO","Manioc","Nombre","2019","123026"
"Nombre de producteurs de Manioc","Total","APLAHOUE","Manioc","Nombre","2019","29308"
"Nombre de producteurs de Manioc","Total","DJAKOTOMEY","Manioc","Nombre","2019","26870"
"Nombre de producteurs de Manioc","Total","DOGBO","Manioc","Nombre","2019","14654"
"Nombre de producteurs de Manioc","Total","KLOUEKANMEY","Manioc","Nombre","2019","16174"
"Nombre de producteurs de Manioc","Total","LALO","Manioc","Nombre","2019","22035"
"Nombre de producteurs de Manioc","Total","TOVIKLIN","Manioc","Nombre","2019","13985"
"Nombre de producteurs de Manioc","Total","DONGA","Manioc","Nombre","2019","53257"
"Nombre de producteurs de Manioc","Total","BASSILA","Manioc","Nombre","2019","9773"
